Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR32280603,WGS,300,12151581600,PRJNA1209100,SAMN46726152,Invertebrate,3945551380,PRINCETON UNIVERSITY,2019-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617795,USA,North America,USA:Atlanta,Illumina NovaSeq 6000,ATL5,Outdoors,ATL5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,ATL5,SRP556564,whole body
SRR32280604,WGS,300,13580225700,PRJNA1209100,SAMN46726151,Invertebrate,4377514018,PRINCETON UNIVERSITY,2019-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617794,Spain,Europe,Spain:Garrapinillos,Illumina NovaSeq 6000,GPN3,Outdoors,GPN3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,GPN3,SRP556564,whole body
SRR32280605,WGS,300,12187630800,PRJNA1209100,SAMN46726150,Invertebrate,3912719484,PRINCETON UNIVERSITY,2019-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617793,Spain,Europe,Spain:Garrapinillos,Illumina NovaSeq 6000,GPN2,Outdoors,GPN2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,GPN2,SRP556564,whole body
SRR32280606,WGS,300,12041213700,PRJNA1209100,SAMN46726149,Invertebrate,3892453311,PRINCETON UNIVERSITY,2019-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617792,Spain,Europe,Spain:Garrapinillos,Illumina NovaSeq 6000,GPN1,Outdoors,GPN1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GPN1,SRP556564,whole body
SRR32280607,WGS,300,11974374600,PRJNA1209100,SAMN46726148,Invertebrate,3952815105,PRINCETON UNIVERSITY,2014-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617791,Mozambique,Africa,Mozambique:Maputo,Illumina NovaSeq 6000,MPT5,Outdoors,MPT5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,MPT5,SRP556564,whole body
SRR32280608,WGS,300,10894580100,PRJNA1209100,SAMN46726147,Invertebrate,3548259805,PRINCETON UNIVERSITY,2014-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617790,Mozambique,Africa,Mozambique:Maputo,Illumina NovaSeq 6000,MPT4,Outdoors,MPT4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,MPT4,SRP556564,whole body
SRR32280609,WGS,300,9510860100,PRJNA1209100,SAMN46726093,Invertebrate,3059530527,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617789,Argentina,South America,Argentina:Junin City,Illumina NovaSeq 6000,JNC4,Outdoors,JNC4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,JNC4,SRP556564,whole body
SRR32280610,WGS,300,13842120600,PRJNA1209100,SAMN46726146,Invertebrate,4428170296,PRINCETON UNIVERSITY,2014-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617788,Mozambique,Africa,Mozambique:Maputo,Illumina NovaSeq 6000,MPT3,Outdoors,MPT3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,MPT3,SRP556564,whole body
SRR32280611,WGS,300,11935904100,PRJNA1209100,SAMN46726145,Invertebrate,3852071051,PRINCETON UNIVERSITY,2014-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617787,Mozambique,Africa,Mozambique:Maputo,Illumina NovaSeq 6000,MPT2,Outdoors,MPT2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,MPT2,SRP556564,whole body
SRR32280612,WGS,300,12731203200,PRJNA1209100,SAMN46726144,Invertebrate,4340094892,PRINCETON UNIVERSITY,2015-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617786,Mozambique,Africa,Mozambique:Maputo,Illumina NovaSeq 6000,MPT1,Outdoors,MPT1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,MPT1,SRP556564,whole body
SRR32280613,WGS,300,10759776600,PRJNA1209100,SAMN46726143,Invertebrate,3567741286,PRINCETON UNIVERSITY,2014-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617785,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU17,Indoors,GAU17,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,GAU17,SRP556564,whole body
SRR32280614,WGS,300,11145170700,PRJNA1209100,SAMN46726142,Invertebrate,3605306711,PRINCETON UNIVERSITY,2014-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617784,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU16,Indoors,GAU16,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU16,SRP556564,whole body
SRR32280615,WGS,300,11135599500,PRJNA1209100,SAMN46726141,Invertebrate,3680537081,PRINCETON UNIVERSITY,2014-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617783,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU15,Indoors,GAU15,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:22:00Z,1,GAU15,SRP556564,whole body
SRR32280616,WGS,300,13648332900,PRJNA1209100,SAMN46726140,Invertebrate,4408086697,PRINCETON UNIVERSITY,2014-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617782,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU14,Indoors,GAU14,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU14,SRP556564,whole body
SRR32280617,WGS,300,12216700500,PRJNA1209100,SAMN46726139,Invertebrate,3938465914,PRINCETON UNIVERSITY,2014-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617781,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU13,Indoors,GAU13,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU13,SRP556564,whole body
SRR32280618,WGS,300,11031734100,PRJNA1209100,SAMN46726138,Invertebrate,3875696994,PRINCETON UNIVERSITY,2014-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617780,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU12,Indoors,GAU12,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU12,SRP556564,whole body
SRR32280619,WGS,300,8885952600,PRJNA1209100,SAMN46726137,Invertebrate,2850959707,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617779,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU11,Outdoors,GAU11,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:22:00Z,1,GAU11,SRP556564,whole body
SRR32280620,WGS,300,13024127700,PRJNA1209100,SAMN46726092,Invertebrate,4203499817,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617778,Argentina,South America,Argentina:Junin City,Illumina NovaSeq 6000,JNC3,Outdoors,JNC3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,JNC3,SRP556564,whole body
SRR32280621,WGS,300,12452305800,PRJNA1209100,SAMN46726136,Invertebrate,4026607616,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617777,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU10,Outdoors,GAU10,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,GAU10,SRP556564,whole body
SRR32280622,WGS,300,13389624300,PRJNA1209100,SAMN46726135,Invertebrate,4347860468,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617776,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU9,Outdoors,GAU9,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,GAU9,SRP556564,whole body
SRR32280623,WGS,300,11736447000,PRJNA1209100,SAMN46726134,Invertebrate,3834700990,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617775,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU8,Outdoors,GAU8,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU8,SRP556564,whole body
SRR32280624,WGS,300,11435663100,PRJNA1209100,SAMN46726133,Invertebrate,3765622408,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617774,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU7,Outdoors,GAU7,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU7,SRP556564,whole body
SRR32280625,WGS,300,15175364400,PRJNA1209100,SAMN46726132,Invertebrate,4919792249,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617773,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU6,Outdoors,GAU6,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:27:00Z,1,GAU6,SRP556564,whole body
SRR32280626,WGS,300,15241396500,PRJNA1209100,SAMN46726131,Invertebrate,4966749445,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617772,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU5,Outdoors,GAU5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,GAU5,SRP556564,whole body
SRR32280627,WGS,300,8681084700,PRJNA1209100,SAMN46726130,Invertebrate,2805620735,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617771,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU4,Outdoors,GAU4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:21:00Z,1,GAU4,SRP556564,whole body
SRR32280628,WGS,300,11240996100,PRJNA1209100,SAMN46726129,Invertebrate,3695048151,PRINCETON UNIVERSITY,2014-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617770,South Africa,Africa,South Africa:Gauteng,Illumina NovaSeq 6000,GAU3,Outdoors,GAU3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,GAU3,SRP556564,whole body
SRR32280629,WGS,300,13149702900,PRJNA1209100,SAMN46726128,Invertebrate,4404004227,PRINCETON UNIVERSITY,2020-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617769,Ethiopia,Africa,Ethiopia:Addis Ababa,Illumina NovaSeq 6000,ADD5,Indoors,ADD5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,ADD5,SRP556564,whole body
SRR32280630,WGS,300,12876999000,PRJNA1209100,SAMN46726127,Invertebrate,4146374087,PRINCETON UNIVERSITY,2020-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617768,Ethiopia,Africa,Ethiopia:Addis Ababa,Illumina NovaSeq 6000,ADD4,Indoors,ADD4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,ADD4,SRP556564,whole body
SRR32280631,WGS,300,13594283100,PRJNA1209100,SAMN46726091,Invertebrate,4444716212,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617767,Argentina,South America,Argentina:Junin City,Illumina NovaSeq 6000,JNC2,Outdoors,JNC2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,JNC2,SRP556564,whole body
SRR32280632,WGS,300,11189144700,PRJNA1209100,SAMN46726126,Invertebrate,3648744123,PRINCETON UNIVERSITY,2020-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617766,Ethiopia,Africa,Ethiopia:Addis Ababa,Illumina NovaSeq 6000,ADD3,Outdoors,ADD3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,ADD3,SRP556564,whole body
SRR32280633,WGS,300,12199194300,PRJNA1209100,SAMN46726125,Invertebrate,4007572104,PRINCETON UNIVERSITY,2020-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617765,Ethiopia,Africa,Ethiopia:Addis Ababa,Illumina NovaSeq 6000,ADD2,Outdoors,ADD2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,ADD2,SRP556564,whole body
SRR32280634,WGS,300,10848179100,PRJNA1209100,SAMN46726124,Invertebrate,3494512147,PRINCETON UNIVERSITY,2020-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617764,Ethiopia,Africa,Ethiopia:Addis Ababa,Illumina NovaSeq 6000,ADD1,Outdoors,ADD1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:22:00Z,1,ADD1,SRP556564,whole body
SRR32280635,WGS,300,12212507700,PRJNA1209100,SAMN46726123,Invertebrate,4069374276,PRINCETON UNIVERSITY,2019-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617763,Gabon,Africa,Gabon:La Lope,Illumina NovaSeq 6000,LLO5,Outdoors,LLO5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,LLO5,SRP556564,whole body
SRR32280636,WGS,300,12712524300,PRJNA1209100,SAMN46726122,Invertebrate,4217239951,PRINCETON UNIVERSITY,2019-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617762,Gabon,Africa,Gabon:La Lope,Illumina NovaSeq 6000,LLO4,Outdoors,LLO4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,LLO4,SRP556564,whole body
SRR32280637,WGS,300,28703899200,PRJNA1209100,SAMN46726121,Invertebrate,12486300852,PRINCETON UNIVERSITY,2019-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617761,Gabon,Africa,Gabon:La Lope,Illumina NovaSeq 6000,LLO3,Outdoors,LLO3,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:40:00Z,1,LLO3,SRP556564,whole body
SRR32280638,WGS,300,12683922000,PRJNA1209100,SAMN46726120,Invertebrate,4110304802,PRINCETON UNIVERSITY,2019-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617760,Gabon,Africa,Gabon:La Lope,Illumina NovaSeq 6000,LLO2,Outdoors,LLO2,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,LLO2,SRP556564,whole body
SRR32280639,WGS,300,12561551100,PRJNA1209100,SAMN46726097,Invertebrate,4101190783,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617759,Argentina,South America,Argentina:America City,Illumina NovaSeq 6000,AMC4,Outdoors,AMC4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,AMC4,SRP556564,whole body
SRR32280640,WGS,300,8880555300,PRJNA1209100,SAMN46726088,Invertebrate,2868377306,PRINCETON UNIVERSITY,2019-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617758,USA,North America,USA:Raleigh,Illumina NovaSeq 6000,RAL1,Outdoors,RAL1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:26:00Z,1,RAL1,SRP556564,whole body
SRR32280641,WGS,300,10970430600,PRJNA1209100,SAMN46726087,Invertebrate,3722327873,PRINCETON UNIVERSITY,2018-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617757,USA,North America,USA:Philadelphia,Illumina NovaSeq 6000,PHI5,Outdoors,PHI5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,PHI5,SRP556564,whole body
SRR32280642,WGS,300,10905571800,PRJNA1209100,SAMN46726119,Invertebrate,3567301315,PRINCETON UNIVERSITY,2019-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617756,Gabon,Africa,Gabon:La Lope,Illumina NovaSeq 6000,LLO1,Outdoors,LLO1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,LLO1,SRP556564,whole body
SRR32280643,WGS,300,11933362800,PRJNA1209100,SAMN46726118,Invertebrate,3870639123,PRINCETON UNIVERSITY,2018-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617755,Cameroon,Africa,Cameroon:Yaounde,Illumina NovaSeq 6000,YAO5,Outdoors,YAO5,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:24:00Z,1,YAO5,SRP556564,whole body
SRR32280644,WGS,300,10429150500,PRJNA1209100,SAMN46726117,Invertebrate,3418450259,PRINCETON UNIVERSITY,2018-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617754,Cameroon,Africa,Cameroon:Yaounde,Illumina NovaSeq 6000,YAO4,Outdoors,YAO4,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,YAO4,SRP556564,whole body
SRR32280645,WGS,300,11820193500,PRJNA1209100,SAMN46726090,Invertebrate,3799676673,PRINCETON UNIVERSITY,2016-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27617753,Argentina,South America,Argentina:Junin City,Illumina NovaSeq 6000,JNC1,Outdoors,JNC1,PAIRED,PCR,GENOMIC,Culex pipiens complex,ILLUMINA,2025-02-09T00:00:00Z,2025-02-09T00:23:00Z,1,JNC1,SRP556564,whole body
